City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Saint-Augustin,CA,2020-12-20 15:37:04,51.23,-58.65,22.3,93,32,5.35
159,Nyurba,RU,2020-12-20 15:37:04,63.28,118.33,-22.4,87,100,2.62
160,Ancud,CL,2020-12-20 15:37:04,-41.87,-73.82,59.0,76,90,2.24
161,Richards Bay,ZA,2020-12-20 15:37:05,-28.78,32.04,79.36,75,27,3.09
162,Tatawin,TN,2020-12-20 15:37:05,32.93,10.45,66.2,42,66,12.33
163,Zhengjiatun,CN,2020-12-20 15:37:06,43.51,123.51,6.62,91,0,8.5
164,Lebu,CL,2020-12-20 15:37:06,-37.62,-73.65,58.42,71,1,17.63
165,Severo-Kurilsk,RU,2020-12-20 15:37:06,50.68,156.12,27.91,92,93,11.74
166,Mount Isa,AU,2020-12-20 15:37:06,-20.73,139.5,73.4,100,75,5.82
167,Bluff,NZ,2020-12-20 15:37:06,-46.6,168.33,46.0,92,85,1.01
168,Hithadhoo,MV,2020-12-20 15:37:07,-0.6,73.08,82.51,73,71,5.19
169,Klaebu,NO,2020-12-20 15:37:07,63.3,10.48,48.2,75,0,29.97
170,Kropotkin,RU,2020-12-20 15:37:07,45.44,40.58,33.24,91,100,4.54
171,Saldanha,ZA,2020-12-20 15:37:07,-33.01,17.94,86.0,33,1,18.34
172,Bud,US,2020-12-20 15:37:07,39.45,-86.18,36.0,93,90,9.17
173,Auki,SB,2020-12-20 15:37:07,-8.77,160.7,78.55,82,43,3.0
174,Arraial Do Cabo,BR,2020-12-20 15:37:08,-22.97,-42.03,91.4,62,0,12.75
175,Rockport,US,2020-12-20 15:37:08,28.02,-97.05,54.0,93,1,6.93
176,Parksville,CA,2020-12-20 15:36:34,49.32,-124.32,51.8,85,97,8.05
177,Haverhill,US,2020-12-20 15:35:47,42.78,-71.08,30.0,73,90,3.85
178,Pangnirtung,CA,2020-12-20 15:37:08,66.15,-65.71,8.73,81,99,12.15
179,Cifuentes,CU,2020-12-20 15:37:08,22.64,-80.05,73.4,88,75,3.36
180,Jumla,NP,2020-12-20 15:37:09,29.27,82.18,41.74,43,0,4.41
181,Bucksport,US,2020-12-20 15:37:09,44.57,-68.8,35.01,79,75,6.82
182,Bethel,US,2020-12-20 15:34:32,41.37,-73.41,30.0,74,100,5.01
183,Okha,RU,2020-12-20 15:37:09,53.57,142.95,-10.01,88,33,12.93
184,Caravelas,BR,2020-12-20 15:37:10,-17.71,-39.25,86.77,58,90,14.61
185,Tuktoyaktuk,CA,2020-12-20 15:37:10,69.45,-133.04,-41.8,72,40,8.05
186,Ixtapa,MX,2020-12-20 15:37:10,20.7,-105.2,64.4,88,5,1.32
187,Wajid,SO,2020-12-20 15:37:10,3.81,43.25,86.56,43,54,14.79
188,Maloye Verevo,RU,2020-12-20 15:37:10,59.61,30.17,35.6,93,90,8.95
189,Provideniya,RU,2020-12-20 15:37:10,64.38,-173.3,-4.38,87,1,13.91
190,Ahipara,NZ,2020-12-20 15:37:11,-35.17,173.17,60.12,86,24,4.45
191,Tommot,RU,2020-12-20 15:37:11,58.96,126.29,7.41,88,100,12.44
192,Ulladulla,AU,2020-12-20 15:37:11,-35.35,150.47,66.2,100,90,4.7
193,Soke,ML,2020-12-20 15:37:12,13.6,-5.94,93.78,12,0,9.91
194,Beloha,MG,2020-12-20 15:37:12,-25.17,45.05,79.2,76,65,11.05
195,Port Hedland,AU,2020-12-20 15:37:13,-20.32,118.57,86.0,74,72,8.05
196,Pimentel,PE,2020-12-20 15:37:13,-6.84,-79.93,75.2,64,0,6.93
197,Bambous Virieux,MU,2020-12-20 15:37:14,-20.34,57.76,80.6,78,75,6.93
198,Byron Bay,AU,2020-12-20 15:37:14,-28.65,153.62,73.4,94,90,6.93
199,Tasiilaq,GL,2020-12-20 15:37:15,65.61,-37.64,17.6,57,100,2.24
200,Newnan,US,2020-12-20 15:35:14,33.38,-84.8,50.0,76,90,3.36
